method,curve_id,curve_family,x,y,x_label,y_label,source,status,notes
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.0932603347,0.9109563159,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.1097498765,0.8960582324,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.1291549665,0.8788377646,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.1519911083,0.8589959186,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.1788649529,0.8362188207,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.2104904145,0.8101868212,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.2477076356,0.7805881261,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.2915053063,0.7471380491,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.3430469286,0.70960491,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.4037017259,0.6678432919,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.4750810162,0.6218346757,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.5590810183,0.5717342358,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.6579332247,0.5179206547,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.7742636827,0.4610431301,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.9111627561,0.4020564585,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,1.072267222,0.3422317219,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,1.2618568831,0.2831278029,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,1.4849682623,0.2265095295,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,1.7475284,0.1742039743,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,2.0565123083,0.1278992661,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,2.4201282648,0.0889102127,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,2.8480358684,0.0579580464,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,3.3516026509,0.0350281712,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,3.9442060594,0.0193665862,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,4.6415888336,0.0096423653,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,5.4622772177,0.0042438805,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,6.4280731173,0.0016155608,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,7.5646332755,0.0005184675,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,8.9021508545,0.0001360959,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,10.4761575279,2.82009e-05,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,12.3284673944,4.424e-06,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,14.508287785,5.002e-07,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,17.0735264747,3.85e-08,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,20.0923300257,1.9e-09,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_3,arps_bdf,0.0001,0.9999000065,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.3
fetkovich,fetkovich_bdf_b_0_3,arps_bdf,0.0001176812,0.9998823278,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.3
fetkovich,fetkovich_bdf_b_0_3,arps_bdf,0.0001384886,0.9998615238,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.3
fetkovich,fetkovich_bdf_b_0_3,arps_bdf,0.0001629751,0.9998370422,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.3
